"Name","State","User","Tags","Created","Runtime","Sweep","Hostname","activation","batch-size","epochs","kernels","layers","lr","test_loss.n3","test_loss.n6","train_loss","epoch"
"expert-sweep-67","finished","","no-noise","2025-01-08T23:57:38.000Z","133","88wspuee","vili","relu","205","20","52","6","0.025392464681994235","0.00002483096090145409","0.000020634295942727477","0.0038536018691957","19"
"vibrant-sweep-66","finished","","","2025-01-08T23:55:45.000Z","105","88wspuee","vili","relu","131","20","62","4","0.00838931960632254","0.00003358769560387979","0.00003361847950145602","0.003736434038728475","19"
"spring-sweep-65","finished","","no-outliers","2025-01-08T23:53:22.000Z","139","88wspuee","vili","relu","182","20","98","3","0.001462187521098712","0.000008538694819435477","0.0000081032777664595","0.0011508202878758311","19"
"helpful-sweep-64","finished","","","2025-01-08T23:52:35.000Z","39","88wspuee","vili","relu","205","20","74","1","0.04111550934292959","0.0000068925840120452145","0.000006134413415566087","0.001354504842311144","19"
"fearless-sweep-63","finished","","no-noise, no-outliers","2025-01-08T23:47:32.000Z","296","88wspuee","vili","relu","37","20","88","7","0.09033194884770604","0.000026886138900105532","0.000016928948193358687","0.000536702515091747","19"
"sweepy-sweep-62","finished","","no-outliers","2025-01-08T23:46:41.000Z","44","88wspuee","vili","tanh","253","20","15","6","0.06608880347699875","0.00001689100832057496","0.0000158922656609699","0.0027876743115484715","19"
"vague-sweep-61","finished","","no-outliers","2025-01-08T23:45:03.000Z","92","88wspuee","vili","tanh","146","20","53","4","0.06800385364914274","0.000010905508048987637","0.000011076168583295942","0.001382765593007207","19"
"cerulean-sweep-60","finished","","no-outliers","2025-01-08T23:43:35.000Z","83","88wspuee","vili","relu","220","20","89","2","0.035738217265316","0.000009151966175219663","0.00000812878538249184","0.001511497888714075","19"
"fresh-sweep-59","finished","","no-noise, no-outliers","2025-01-08T23:39:40.000Z","228","88wspuee","vili","relu","66","20","87","6","0.011091492474430432","0.00006513886561151594","0.00004629725627403518","0.0027136250864714384","19"
"worthy-sweep-58","finished","","no-outliers","2025-01-08T23:39:09.000Z","22","88wspuee","vili","relu","159","20","6","4","0.09282863000165628","0.000012220215770260742","0.000010499394275198645","0.0013984220568090675","19"
"grateful-sweep-57","finished","","no-outliers, weird","2025-01-08T23:34:16.000Z","288","88wspuee","vili","tanh","175","20","86","7","0.05745367653547809","0.00029662711235384144","0.00035832699793403284","0.05560847744345665","19"
"astral-sweep-56","finished","","","2025-01-08T23:33:45.000Z","26","88wspuee","vili","tanh","232","20","5","6","0.05967156900987303","0.000024800591248398026","0.000027917461120523513","0.004230109509080648","19"
"hopeful-sweep-55","finished","","no-noise, no-outliers, weird","2025-01-08T23:32:28.000Z","69","88wspuee","vili","tanh","248","20","40","4","0.06803551462669491","0.00021160793180267015","0.00026947762372481096","0.053001902997493744","19"
"ethereal-sweep-54","finished","","","2025-01-08T23:31:42.000Z","39","88wspuee","vili","tanh","155","20","34","2","0.014417998688728293","0.000007581716539183011","0.000007766985363559798","0.001169953146018088","19"
"wobbly-sweep-53","finished","","no-outliers","2025-01-08T23:30:29.000Z","65","88wspuee","vili","tanh","157","20","32","5","0.004808798776939506","0.00004461791832000017","0.000039865806901367966","0.004795090761035681","19"
"denim-sweep-52","finished","","no-noise","2025-01-08T23:28:26.000Z","117","88wspuee","vili","relu","90","20","54","5","0.03269703819491068","0.00003652700902118037","0.00002260318899061531","0.002310394076630473","19"
"crisp-sweep-51","finished","","no-outliers","2025-01-08T23:27:55.000Z","23","88wspuee","vili","relu","210","20","9","3","0.004545803091580304","0.000006359109829645604","0.000005944466325812615","0.0010941793443635106","19"
"olive-sweep-50","finished","","no-noise, no-outliers","2025-01-08T23:27:03.000Z","45","88wspuee","vili","relu","213","20","22","4","0.04157683432937727","0.00001638706831727177","0.000015594527762709308","0.0025483197532594204","19"
"hopeful-sweep-49","finished","","no-outliers, weird","2025-01-08T23:26:27.000Z","31","88wspuee","vili","relu","228","20","22","2","0.09914024316363622","0.0002553792235751947","0.00029007574686637294","0.05487307533621788","19"
"treasured-sweep-48","finished","","","2025-01-08T23:22:05.000Z","254","88wspuee","vili","relu","145","20","96","6","0.017797709108619157","0.00002623503988919159","0.000014806105755269529","0.0025521647185087204","19"
"genial-sweep-47","finished","","no-noise, weird","2025-01-08T23:19:37.000Z","144","88wspuee","vili","tanh","81","20","75","4","0.07939140098663447","0.0006352097634226084","0.0006726692151278257","0.04820184409618378","19"
"true-sweep-46","finished","","","2025-01-08T23:18:35.000Z","56","88wspuee","vili","relu","49","20","29","4","0.08089088536970274","0.000025554053427185862","0.00002230621728813276","0.0010312657104805112","19"
"northern-sweep-45","finished","","no-noise, no-outliers","2025-01-08T23:17:13.000Z","74","88wspuee","vili","relu","69","20","77","2","0.051140691693247656","0.000022438455780502408","0.00001591044706317154","0.000651292153634131","19"
"earnest-sweep-44","finished","","no-noise, no-outliers, weird","2025-01-08T23:14:34.000Z","152","88wspuee","vili","tanh","164","20","86","4","0.08207280285139056","0.00033944131185611087","0.0003554921211867497","0.05478819832205773","19"
"glorious-sweep-43","finished","","weird","2025-01-08T23:11:44.000Z","161","88wspuee","vili","relu","38","20","50","7","0.09293895982480274","0.0013534116744995117","0.0014888676162809133","0.0589217022061348","19"
"cerulean-sweep-42","finished","","no-noise, no-outliers","2025-01-08T23:10:17.000Z","79","88wspuee","vili","tanh","75","20","49","3","0.05970094073507524","0.000015351958233319843","0.000010008754721899524","0.0005904969293624163","19"
"dutiful-sweep-41","finished","","no-outliers","2025-01-08T23:09:15.000Z","55","88wspuee","vili","tanh","240","20","37","3","0.0532813466202985","0.000013978922894845409","0.000014716075654252773","0.0019815408159047365","19"
"prime-sweep-40","finished","","no-outliers","2025-01-08T23:08:24.000Z","42","88wspuee","vili","tanh","130","20","42","2","0.05295825955431249","0.00001245661114808172","0.000010238484688231656","0.001145190792158246","19"
"good-sweep-39","finished","","no-noise","2025-01-08T23:07:22.000Z","57","88wspuee","vili","relu","144","20","22","5","0.04017009355712203","0.0000237834028666839","0.000020504573185462505","0.00254961964674294","19"
"sparkling-sweep-38","finished","","","2025-01-08T23:06:25.000Z","51","88wspuee","vili","tanh","132","20","47","2","0.035441117310922345","0.00001843550669339796","0.000022123873641248793","0.0015600514598190784","19"
"magic-sweep-37","finished","","no-outliers","2025-01-08T23:04:32.000Z","107","88wspuee","vili","tanh","241","20","73","3","0.009917311899958776","0.000016396361170336606","0.000020502037269900742","0.004322162363678217","19"
"light-sweep-36","finished","","no-noise","2025-01-08T23:03:10.000Z","75","88wspuee","vili","relu","112","20","51","2","0.016540150380690014","0.000010084814566653224","0.000008078997561824508","0.0008847973658703268","19"
"treasured-sweep-35","finished","","","2025-01-08T23:02:29.000Z","33","88wspuee","vili","relu","129","20","62","1","0.05932714841740102","0.00006929100258275867","0.00007885501603595913","0.009082150645554066","19"
"mild-sweep-34","finished","","no-outliers","2025-01-08T22:59:35.000Z","166","88wspuee","vili","tanh","211","20","52","7","0.02339706797396582","0.0000204358872724697","0.000019577595551031334","0.003212227486073971","19"
"devoted-sweep-35","finished","","no-noise, no-outliers","2025-01-08T22:58:33.000Z","56","88wspuee","vili","relu","44","20","22","5","0.040747011078232254","0.00003762296924833208","0.00002706686000213699","0.0010675956727936864","19"
"robust-sweep-34","finished","","","2025-01-08T22:57:52.000Z","32","88wspuee","vili","tanh","224","20","10","5","0.03719106044936595","0.000005252041931574543","0.000004689167471951805","0.0008955607190728188","19"
"morning-sweep-33","finished","","no-noise, no-outliers","2025-01-08T22:53:00.000Z","284","88wspuee","vili","relu","46","20","87","7","0.050409627009724976","0.000023552098573418333","0.000015756475293900157","0.0006196818430908024","19"
"honest-sweep-32","finished","","no-noise","2025-01-08T22:51:32.000Z","79","88wspuee","vili","tanh","183","20","42","4","0.05859642111314752","0.000012668847339227796","0.000010036350431619212","0.0015074284747242928","19"
"lyric-sweep-31","finished","","","2025-01-08T22:51:12.000Z","16","88wspuee","vili","relu","210","20","4","2","0.07677697319707255","0.000015625918555694323","0.00001774766598828137","0.004936445504426956","19"
"polished-sweep-30","finished","","no-noise, no-outliers","2025-01-08T22:50:25.000Z","39","88wspuee","vili","relu","196","20","10","6","0.033557327637251215","0.000013852048238428933","0.000007928127826831306","0.0011548331240192056","19"
